date,segmentId,hour,speedLimit,distance,frc,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,travelTimeRatio,sampleSize,normalizedSampleSize
2024-08-01,16420000797623,2,60,14.18,2,37.0,38.2,16.5,17.3,3.1,1.0,125,0.1274
2024-08-01,16420000797623,3,60,14.18,2,31.9,33.8,10.4,17.5,4.9,1.58,175,0.1784
2024-08-01,16420000797623,4,60,14.18,2,29.0,27.6,7.0,17.5,7.25,2.34,192,0.1957
2024-08-01,16420000797623,5,60,14.18,2,32.3,33.8,13.2,15.6,3.88,1.25,230,0.2345
2024-08-01,16420000797623,6,60,14.18,2,29.2,29.1,13.8,14.3,3.69,1.19,266,0.2712
2024-08-01,16420000797623,7,60,14.18,2,28.1,28.6,11.9,14.6,4.3,1.39,337,0.3435
2024-08-01,16420000797623,8,60,14.18,2,26.7,27.2,7.2,15.3,7.1,2.29,302,0.3078
2024-08-01,16420000797623,9,60,14.18,2,27.1,28.2,8.1,15.5,6.3,2.03,290,0.2956
2024-08-01,16420000797623,10,60,14.18,2,27.0,27.1,9.0,15.9,5.71,1.84,312,0.318
2024-08-01,16420000797623,11,60,14.18,2,26.5,26.3,9.2,14.4,5.58,1.8,308,0.314
2024-08-01,16420000797623,12,60,14.18,2,26.0,26.6,9.9,12.6,5.15,1.66,344,0.3507
2024-08-01,16420000797623,13,60,14.18,2,25.2,25.1,8.6,13.2,5.96,1.92,369,0.3761
2024-08-01,16420000797623,14,60,14.18,2,27.6,27.8,9.4,14.1,5.41,1.74,368,0.3751
2024-08-01,16420000797623,15,60,14.18,2,27.1,26.5,11.4,13.5,4.5,1.45,370,0.3772
2024-08-01,16420000797623,16,60,14.18,2,29.9,30.4,12.9,14.5,3.95,1.27,353,0.3598
2024-08-01,16420000797623,17,60,14.18,2,30.4,29.3,15.9,14.4,3.2,1.03,321,0.3272
2024-08-01,16420000773250,2,60,35.51,2,24.9,22.5,6.9,21.3,18.45,1.0,68,0.0693
2024-08-01,16420000773250,3,60,35.51,2,25.1,25.2,7.3,17.1,17.55,0.95,111,0.1131
2024-08-01,16420000773250,4,60,35.51,2,19.5,19.7,5.4,15.1,23.72,1.29,119,0.1213
2024-08-01,16420000773250,5,60,35.51,2,23.9,23.7,7.2,15.8,17.88,0.97,138,0.1407
2024-08-01,16420000773250,6,60,35.51,2,19.1,19.6,6.7,14.0,19.16,1.04,168,0.1713
2024-08-01,16420000773250,7,60,35.51,2,21.4,22.0,7.1,14.3,17.9,0.97,241,0.2457
2024-08-01,16420000773250,8,60,35.51,2,20.3,20.5,7.5,13.9,17.1,0.93,215,0.2192
2024-08-01,16420000773250,9,60,35.51,2,19.7,21.5,6.8,12.7,18.74,1.02,201,0.2049
2024-08-01,16420000773250,10,60,35.51,2,22.0,22.5,8.0,14.5,15.91,0.86,220,0.2243
2024-08-01,16420000773250,11,60,35.51,2,20.4,22.5,6.9,13.0,18.64,1.01,208,0.212
2024-08-01,16420000773250,12,60,35.51,2,23.0,24.7,9.5,11.9,13.46,0.73,237,0.2416
2024-08-01,16420000773250,13,60,35.51,2,20.0,21.2,7.8,11.9,16.48,0.89,240,0.2446
2024-08-01,16420000773250,14,60,35.51,2,21.7,23.8,8.4,12.4,15.3,0.83,251,0.2559
2024-08-01,16420000773250,15,60,35.51,2,21.4,22.5,8.5,11.9,15.03,0.81,262,0.2671
2024-08-01,16420000773250,16,60,35.51,2,22.9,23.4,7.8,14.9,16.46,0.89,222,0.2263
2024-08-01,16420000773250,17,60,35.51,2,24.5,25.3,10.0,14.5,12.73,0.69,206,0.21
2024-08-01,16420000092840,2,60,14.96,3,32.0,31.4,13.7,16.6,3.92,1.0,68,0.0693
2024-08-01,16420000092840,3,60,14.96,3,30.6,32.2,14.9,13.1,3.61,0.92,112,0.1142
2024-08-01,16420000092840,4,60,14.96,3,25.9,25.9,13.4,13.8,4.01,1.02,123,0.1254
2024-08-01,16420000092840,5,60,14.96,3,27.8,27.4,13.4,14.0,4.01,1.02,145,0.1478
2024-08-01,16420000092840,6,60,14.96,3,26.6,27.6,17.1,11.5,3.15,0.8,169,0.1723
2024-08-01,16420000092840,7,60,14.96,3,26.3,26.6,15.0,13.2,3.6,0.92,247,0.2518
2024-08-01,16420000092840,8,60,14.96,3,25.7,27.2,16.1,12.0,3.35,0.85,217,0.2212
2024-08-01,16420000092840,9,60,14.96,3,27.0,27.3,18.5,10.9,2.92,0.74,207,0.211
2024-08-01,16420000092840,10,60,14.96,3,26.8,27.2,16.5,12.3,3.26,0.83,229,0.2334
2024-08-01,16420000092840,11,60,14.96,3,26.3,26.4,17.0,11.7,3.18,0.81,215,0.2192
2024-08-01,16420000092840,12,60,14.96,3,27.3,28.1,18.4,10.8,2.92,0.74,243,0.2477
2024-08-01,16420000092840,13,60,14.96,3,25.7,25.9,14.4,12.0,3.75,0.96,250,0.2548
2024-08-01,16420000092840,14,60,14.96,3,26.2,27.6,17.7,10.3,3.04,0.78,261,0.2661
2024-08-01,16420000092840,15,60,14.96,3,26.2,27.0,18.4,10.0,2.93,0.75,273,0.2783
2024-08-01,16420000092840,16,60,14.96,3,28.1,26.8,16.7,12.8,3.22,0.82,232,0.2365
2024-08-01,16420000092840,17,60,14.96,3,29.2,28.5,21.8,12.0,2.47,0.63,212,0.2161
2024-08-01,16420000095573,2,30,15.59,2,36.0,35.5,27.1,14.8,2.07,1.0,169,0.1723
2024-08-01,16420000095573,3,30,15.59,2,35.2,36.0,27.8,11.0,2.02,0.97,214,0.2181
2024-08-01,16420000095573,4,30,15.59,2,33.8,35.3,19.4,13.6,2.89,1.4,290,0.2956
2024-08-01,16420000095573,5,30,15.59,2,32.8,34.6,21.0,11.9,2.67,1.29,273,0.2783
2024-08-01,16420000095573,6,30,15.59,2,32.3,33.8,23.1,12.5,2.43,1.17,254,0.2589
2024-08-01,16420000095573,7,30,15.59,2,31.4,32.3,19.6,14.1,2.86,1.38,267,0.2722
2024-08-01,16420000095573,8,30,15.59,2,33.4,34.7,22.4,13.5,2.51,1.21,252,0.2569
2024-08-01,16420000095573,9,30,15.59,2,32.9,34.8,20.9,12.6,2.68,1.3,298,0.3038
2024-08-01,16420000095573,10,30,15.59,2,33.2,33.2,20.7,13.1,2.72,1.31,290,0.2956
2024-08-01,16420000095573,11,30,15.59,2,33.5,34.0,23.5,12.4,2.39,1.16,284,0.2895
2024-08-01,16420000095573,12,30,15.59,2,31.4,33.1,20.4,12.2,2.75,1.33,318,0.3242
2024-08-01,16420000095573,13,30,15.59,2,31.6,31.7,21.5,13.0,2.61,1.26,304,0.3099
2024-08-01,16420000095573,14,30,15.59,2,32.8,33.5,22.4,11.4,2.51,1.21,352,0.3588
2024-08-01,16420000095573,15,30,15.59,2,32.3,33.0,23.6,11.6,2.37,1.15,344,0.3507
2024-08-01,16420000095573,16,30,15.59,2,32.8,33.6,20.2,13.3,2.77,1.34,329,0.3354
2024-08-01,16420000095573,17,30,15.59,2,33.9,33.9,23.7,12.9,2.37,1.14,309,0.315
2024-08-01,16420000041068,2,50,15.13,2,35.8,36.1,30.6,11.1,1.78,1.0,210,0.2141
2024-08-01,16420000041068,3,50,15.13,2,34.8,35.3,30.6,9.9,1.78,1.0,225,0.2294
2024-08-01,16420000041068,4,50,15.13,2,32.5,33.4,26.6,11.1,2.05,1.15,230,0.2345
2024-08-01,16420000041068,5,50,15.13,2,33.6,34.6,28.0,12.0,1.94,1.09,233,0.2375
2024-08-01,16420000041068,6,50,15.13,2,33.1,33.8,26.9,10.6,2.02,1.14,252,0.2569
2024-08-01,16420000041068,7,50,15.13,2,34.9,34.2,30.2,11.1,1.8,1.01,270,0.2752
2024-08-01,16420000041068,8,50,15.13,2,33.4,34.3,28.5,10.5,1.91,1.08,259,0.264
2024-08-01,16420000041068,9,50,15.13,2,32.9,33.7,28.6,9.8,1.9,1.07,329,0.3354
2024-08-01,16420000041068,10,50,15.13,2,33.6,34.0,30.4,9.6,1.79,1.01,340,0.3466
2024-08-01,16420000041068,11,50,15.13,2,34.2,33.4,30.3,10.0,1.8,1.01,275,0.2803
2024-08-01,16420000041068,12,50,15.13,2,32.5,33.6,27.0,9.8,2.02,1.14,308,0.314
2024-08-01,16420000041068,13,50,15.13,2,33.8,33.4,29.1,10.6,1.87,1.05,324,0.3303
2024-08-01,16420000041068,14,50,15.13,2,33.8,33.7,30.0,8.9,1.82,1.02,363,0.37
2024-08-01,16420000041068,15,50,15.13,2,32.0,32.4,27.9,9.0,1.95,1.1,352,0.3588
2024-08-01,16420000041068,16,50,15.13,2,34.2,33.7,29.0,10.5,1.88,1.06,341,0.3476
2024-08-01,16420000041068,17,50,15.13,2,33.2,32.8,28.7,9.9,1.9,1.07,336,0.3425
2024-08-01,16420000105037,2,50,43.73,2,40.4,41.0,35.5,11.7,4.43,1.0,210,0.2141
2024-08-01,16420000105037,3,50,43.73,2,38.9,40.5,34.2,10.2,4.6,1.04,223,0.2273
2024-08-01,16420000105037,4,50,43.73,2,36.3,38.4,30.3,12.0,5.2,1.17,228,0.2324
2024-08-01,16420000105037,5,50,43.73,2,36.5,37.9,31.0,12.0,5.07,1.14,226,0.2304
2024-08-01,16420000105037,6,50,43.73,2,36.6,37.7,31.8,10.3,4.95,1.12,249,0.2538
